seed,hallucination_rate,controller,final_vhat,final_vtrue,viol_rate,conv_steps,pearson_r,spearman_r
56,0.1,cosine,0.0020768549832366192,0.04772442365643932,0.1961961961961962,531,0.13215721886310214,0.32688593232206303
56,0.1,grad_clip,0.17416900693206583,0.33226887719739023,0.4854854854854855,10,0.1173376360797573,0.7370191135675775
56,0.1,adaptive,1029.512676762348,18.390103289639374,0.30430430430430433,17,0.8157285526265561,0.1490298663328771
57,0.1,no_damping,9.992007221626409e-16,490439177873.4125,0.01701701701701702,1000,-0.38734399038437956,0.6525228834287797
57,0.1,cosine,0.00196820827234839,0.06501795711248906,0.2092092092092092,531,0.10798420339495773,0.06854447812343949
57,0.1,grad_clip,0.013565705798938827,0.12040013303896684,0.4994994994994995,6,0.1281008420715157,0.7531043963763021
57,0.1,adaptive,0.0,0.6256735928593867,0.2962962962962963,13,0.7770889664817094,0.1897819226797116
58,0.1,no_damping,9.992007221626409e-16,482805782264.23413,0.014014014014014014,1000,-0.4157398161847501,-0.8349967970701389
58,0.1,cosine,0.0003154914617092568,0.044039753860464693,0.2002002002002002,525,0.04587708342580909,0.1334407724964706
58,0.1,grad_clip,0.00470462290115178,0.13048231011622569,0.4974974974974975,8,0.07332170033381374,0.6929527342774695
58,0.1,adaptive,0.0,0.4389229475118142,0.2932932932932933,29,0.771112822253766,0.17543402191420748
59,0.1,no_damping,9.992007221626409e-16,330407961353.6995,0.016016016016016016,1000,-0.3669897023132236,0.6597130620448189
59,0.1,cosine,0.00020834418566584244,0.025670485856972177,0.19519519519519518,531,0.13910971992647675,0.11962291927911903
59,0.1,grad_clip,0.0035793108984483717,0.11424120321386937,0.5005005005005005,10,0.04853124925989649,0.7074907414941026
59,0.1,adaptive,5.790382000115507e-05,0.009882036114349313,0.2872872872872873,29,0.8317758049511548,0.24205092913699983
60,0.1,no_damping,9.992007221626409e-16,292445139513.4753,0.013013013013013013,1000,-0.4144729251040388,-0.8413386074230994
60,0.1,cosine,0.00024373395414374691,0.017613231627342817,0.2032032032032032,531,0.10181498322167855,0.07112894260648824
60,0.1,grad_clip,0.007740822435334643,0.177650254676395,0.4964964964964965,9,0.1316377657004372,0.7131489898500365
60,0.1,adaptive,0.0,0.029800289948223792,0.2972972972972973,24,0.7609003045861954,0.19424766145504552
61,0.1,no_damping,9.992007221626409e-16,491605078107.4914,0.013013013013013013,1000,-0.4332552542909096,-0.8406817657694172
61,0.1,cosine,0.00015491059015166912,0.022781075973560404,0.22022022022022023,529,0.010531854790320455,0.060044498486088
61,0.1,grad_clip,0.0,0.040889111381337793,0.4924924924924925,8,0.08254426934594145,0.6813972830030126
61,0.1,adaptive,0.0,0.2500998270613302,0.3113113113113113,20,0.7979709946682293,0.17817314800583983
42,0.3,no_damping,9.992007221626409e-16,322914671766.90576,0.012012012012012012,1000,-0.42608445260171296,0.6705045088990413
42,0.3,cosine,0.0025893352583492616,0.04206060623037477,0.18218218218218218,536,0.1084418252028535,0.36503017431385193
42,0.3,grad_clip,0.29603330862910926,0.6164100234802806,0.5135135135135135,8,0.20250786926100978,0.7179798422582325
42,0.3,adaptive,5.597338595932407,4.118150264863342,0.2732732732732733,17,0.6771726072565708,0.6613601211016298
43,0.3,no_damping,9.992007221626409e-16,253212429976.39676,0.012012012012012012,1000,-0.41972794286424187,0.6719945166607845
43,0.3,cosine,0.00010023569944548153,0.039499572795798875,0.18218218218218218,540,0.04919454602393822,0.2402210766509788
43,0.3,grad_clip,0.0,0.10009609941063677,0.5205205205205206,7,0.16510559947054024,0.7446911634968812
43,0.3,adaptive,0.0,1.736302442752058,0.2732732732732733,9,0.8109159040804914,0.629653061035848
44,0.3,no_damping,9.992007221626409e-16,271886358548.84686,0.013013013013013013,1000,-0.4125907100066894,0.667528519472681
44,0.3,cosine,0.0,0.12431958236480528,0.1891891891891892,542,0.08212493271622336,0.2798690086908409
44,0.3,grad_clip,0.4058842395745086,0.4208334141802695,0.5095095095095095,7,0.26125222608813586,0.7625328924086429
44,0.3,adaptive,25.49595146268641,5.847924750658614,0.2902902902902903,21,0.8164282214146804,0.6976502393317245
45,0.3,no_damping,9.992007221626409e-16,233604076914.43112,0.016016016016016016,1000,-0.36548576499779617,-0.824212699731052
45,0.3,cosine,0.00011145990454518,0.198524939100941,0.1941941941941942,529,0.12426460197925891,0.2189418710507485
