seed,mode,E_thresh,RV_thresh,n_accepted,n_rejected,retention_rate,fragile_rate,reliable_frac,recall,f1,fragile_rej,accepted_fragile
43,E+RV,2.5,0.1,183,317,0.366,0.0650887573964497,0.8633879781420765,0.6448979591836734,0.7383177570093459,0.819672131147541,11
43,E+RV,2.5,0.15,207,293,0.414,0.09523809523809523,0.8260869565217391,0.6979591836734694,0.756637168141593,0.7049180327868853,18
43,E+RV,2.5,0.2,224,276,0.448,0.10784313725490197,0.8125,0.7428571428571429,0.7761194029850748,0.639344262295082,22
43,E+RV,2.5,0.3,240,260,0.48,0.12206572769953052,0.7791666666666667,0.763265306122449,0.7711340206185567,0.5737704918032787,26
43,E+RV,2.5,0.5,246,254,0.492,0.13023255813953488,0.7601626016260162,0.763265306122449,0.7617107942973524,0.540983606557377,28
43,E+RV,3.0,0.01,38,462,0.076,0.05405405405405406,0.9210526315789473,0.14285714285714285,0.24734982332155478,0.9672131147540983,2
43,E+RV,3.0,0.05,93,407,0.186,0.054945054945054944,0.9247311827956989,0.3510204081632653,0.5088757396449705,0.9180327868852459,5
43,E+RV,3.0,0.1,149,351,0.298,0.06944444444444445,0.8993288590604027,0.5469387755102041,0.6802030456852792,0.8360655737704918,10
43,E+RV,3.0,0.15,168,332,0.336,0.0875,0.8690476190476191,0.5959183673469388,0.7070217917675545,0.7704918032786885,14
43,E+RV,3.0,0.2,181,319,0.362,0.0935672514619883,0.856353591160221,0.6326530612244898,0.727699530516432,0.7377049180327868,16
43,E+RV,3.0,0.3,189,311,0.378,0.10734463276836158,0.8359788359788359,0.6448979591836734,0.7281105990783409,0.6885245901639344,19
43,E+RV,3.0,0.5,193,307,0.386,0.11731843575418995,0.8186528497409327,0.6448979591836734,0.7214611872146119,0.6557377049180328,21
43,E+RV,4.0,0.01,18,482,0.036,0.0,1.0,0.07346938775510205,0.13688212927756654,1.0,0
43,E+RV,4.0,0.05,50,450,0.1,0.0,0.98,0.2,0.3322033898305085,1.0,0
43,E+RV,4.0,0.1,84,416,0.168,0.037037037037037035,0.9285714285714286,0.3183673469387755,0.47416413373860183,0.9508196721311475,3
43,E+RV,4.0,0.15,95,405,0.19,0.0449438202247191,0.8947368421052632,0.3469387755102041,0.5,0.9344262295081968,4
43,E+RV,4.0,0.2,98,402,0.196,0.043478260869565216,0.8979591836734694,0.35918367346938773,0.5131195335276968,0.9344262295081968,4
43,E+RV,4.0,0.3,103,397,0.206,0.061855670103092786,0.883495145631068,0.37142857142857144,0.5229885057471265,0.9016393442622951,6
43,E+RV,4.0,0.5,105,395,0.21,0.08080808080808081,0.8666666666666667,0.37142857142857144,0.52,0.8688524590163934,8
43,E+RV,5.0,0.01,8,492,0.016,0.0,1.0,0.0326530612244898,0.0632411067193676,1.0,0
43,E+RV,5.0,0.05,25,475,0.05,0.0,0.96,0.09795918367346938,0.17777777777777776,1.0,0
43,E+RV,5.0,0.1,42,458,0.084,0.025,0.9285714285714286,0.15918367346938775,0.2717770034843206,0.9836065573770492,1
43,E+RV,5.0,0.15,45,455,0.09,0.046511627906976744,0.9111111111111111,0.1673469387755102,0.2827586206896552,0.9672131147540983,2
43,E+RV,5.0,0.2,46,454,0.092,0.045454545454545456,0.9130434782608695,0.17142857142857143,0.28865979381443296,0.9672131147540983,2
43,E+RV,5.0,0.3,51,449,0.102,0.08163265306122448,0.8823529411764706,0.1836734693877551,0.3040540540540541,0.9344262295081968,4
43,E+RV,5.0,0.5,51,449,0.102,0.08163265306122448,0.8823529411764706,0.1836734693877551,0.3040540540540541,0.9344262295081968,4
44,none,0.0,0.0,500,0,1.0,0.19863013698630136,0.468,1.0,0.6376021798365124,0.0,58
44,E_only,1.0,0.0,429,71,0.858,0.18815331010452963,0.5431235431235432,0.9957264957264957,0.7028657616892912,0.06896551724137934,54
44,E_only,1.5,0.0,371,129,0.742,0.17266187050359713,0.6199460916442049,0.9829059829059829,0.7603305785123967,0.1724137931034483,48
44,E_only,2.0,0.0,303,197,0.606,0.14741035856573706,0.7062706270627063,0.9145299145299145,0.7970204841713221,0.3620689655172413,37
44,E_only,2.5,0.0,252,248,0.504,0.1278538812785388,0.7579365079365079,0.8162393162393162,0.7860082304526749,0.5172413793103448,28
44,E_only,3.0,0.0,187,313,0.374,0.1144578313253012,0.786096256684492,0.6282051282051282,0.6983372921615202,0.6724137931034483,19
44,E_only,4.0,0.0,103,397,0.206,0.14285714285714285,0.8155339805825242,0.358974358974359,0.4985163204747775,0.7586206896551724,14
44,E_only,5.0,0.0,52,448,0.104,0.1,0.8653846153846154,0.19230769230769232,0.3146853146853147,0.9137931034482758,5
