seed,severity,detector,delay,pre_fpr,arl0
75,severe,adwin,700,0.0,300
76,severe,entropy_weighted,700,0.03333333333333333,0
76,severe,uniform,700,0.03333333333333333,0
76,severe,adwin,700,0.0,300
77,severe,entropy_weighted,51,0.03333333333333333,0
77,severe,uniform,189,0.03333333333333333,0
77,severe,adwin,700,0.0,300
78,severe,entropy_weighted,700,0.03333333333333333,0
78,severe,uniform,700,0.03333333333333333,0
78,severe,adwin,700,0.0,300
79,severe,entropy_weighted,700,0.03333333333333333,0
79,severe,uniform,700,0.03333333333333333,0
79,severe,adwin,700,0.0,300
80,severe,entropy_weighted,700,0.03333333333333333,0
80,severe,uniform,700,0.03333333333333333,0
80,severe,adwin,700,0.0,300
81,severe,entropy_weighted,700,0.03333333333333333,0
81,severe,uniform,700,0.03333333333333333,0
81,severe,adwin,700,0.0,300
